scan_pdf_page	candidate_physical_line	printed_counterpart_id	printed_reading	status
103	1	seytek-2012:p0976:b002:l006	«Бел беттеген шай атам	visual_sequence_alignment_aid_only
103	2	seytek-2012:p0976:b002:l007	Беттеп жолун оңдоду.	visual_sequence_alignment_aid_only
103	3	seytek-2012:p0976:b002:l008	Бак, баабедин дул апам,	visual_sequence_alignment_aid_only
103	4	seytek-2012:p0976:b002:l009	Кош кол менен колдоду».	visual_sequence_alignment_aid_only
103	5	seytek-2012:p0976:b002:l010	Аты кызыр машайык,	visual_sequence_alignment_aid_only
103	6	seytek-2012:p0976:b002:l011	Ал ооздуктан алыптыр:	visual_sequence_alignment_aid_only
103	7	seytek-2012:p0976:b002:l012	«Балам согуш кылгын» – деп	visual_sequence_alignment_aid_only
103	8	seytek-2012:p0976:b002:l013	Коштоп калган кези экен,	visual_sequence_alignment_aid_only
103	9	seytek-2012:p0976:b002:l014	Колдогону бир тогуз,	visual_sequence_alignment_aid_only
103	10	seytek-2012:p0976:b002:l015	Колдоп калган кези экен.	visual_sequence_alignment_aid_only
103	11	seytek-2012:p0976:b002:l016	Жөлөгөнү бир тогуз,	visual_sequence_alignment_aid_only
103	12	seytek-2012:p0976:b002:l017	Жөлөп калган кези экен.	visual_sequence_alignment_aid_only
103	13	seytek-2012:p0976:b002:l018	Кайыпчал кызы кыз арстан,	visual_sequence_alignment_aid_only
103	14	seytek-2012:p0976:b002:l019	Калкалашчу майдандан,	visual_sequence_alignment_aid_only
103	15	seytek-2012:p0976:b002:l020	Аска тайпак керүүдөн,	visual_sequence_alignment_aid_only
103	16	seytek-2012:p0976:b002:l021	Алыш кылчу жеринен,	visual_sequence_alignment_aid_only
103	17	seytek-2012:p0976:b002:l022	Кымбаттыгы билинип,	visual_sequence_alignment_aid_only
103	18	seytek-2012:p0976:b002:l023	Кым-кым этип сүйүнүп,	visual_sequence_alignment_aid_only
103	19	seytek-2012:p0976:b002:l024	Ок өтпөс чопкут тон кийип,	visual_sequence_alignment_aid_only
103	20	seytek-2012:p0976:b002:l025	Ок жетпеген ат минип,	visual_sequence_alignment_aid_only
103	21	seytek-2012:p0976:b002:l026	Болот кылыч найза алып,	visual_sequence_alignment_aid_only
103	22	seytek-2012:p0976:b002:l027	Кыны жок кылыч байланып,	visual_sequence_alignment_aid_only
103	23	seytek-2012:p0976:b002:l028	Дагдыр жетсе көрүүгө,	visual_sequence_alignment_aid_only
103	24	seytek-2012:p0976:b002:l029	Чын ажал жетсе өлүүгө,	visual_sequence_alignment_aid_only
103	25	seytek-2012:p0976:b002:l030	Убадалуу кайран шер,	visual_sequence_alignment_aid_only
103	26	seytek-2012:p0976:b002:l031	Эр Сарыбай кезетти,	visual_sequence_alignment_aid_only
103	27	seytek-2012:p0976:b002:l032	Эми көкжал берүүгө,	visual_sequence_alignment_aid_only
103	28	seytek-2012:p0976:b002:l033	Каарланып камынып,	visual_sequence_alignment_aid_only
103	29	seytek-2012:p0976:b002:l034	Кайран шердин өзүнө,	visual_sequence_alignment_aid_only
103	30	seytek-2012:p0976:b002:l035	Кайыптан акыл табылып,	visual_sequence_alignment_aid_only
103	31	seytek-2012:p0976:b002:l036	Козголоңдуу кайран шер,	visual_sequence_alignment_aid_only
103	32	seytek-2012:p0976:b002:l037	Баатырдыгы башкача,	visual_sequence_alignment_aid_only
103	33	seytek-2012:p0976:b002:l038	Балбандыгы бир канча.	visual_sequence_alignment_aid_only
103	34	seytek-2012:p0976:b002:l039	Башта күндөн кыз балбан,	visual_sequence_alignment_aid_only
103	35	seytek-2012:p0976:b002:l040	Жоо кийимин кийинип,	visual_sequence_alignment_aid_only
103	36	seytek-2012:p0976:b003:l001	Жолборстугу билинип,	visual_sequence_alignment_aid_only
103	37	seytek-2012:p0976:b003:l002	Канчалар менен кармашкан,	visual_sequence_alignment_aid_only
103	38	seytek-2012:p0976:b003:l003	Кан төгүшүп жайгашкан.	visual_sequence_alignment_aid_only
103	39	seytek-2012:p0976:b003:l004	Жан жүрбөгөн чөл көргөн,	visual_sequence_alignment_aid_only
103	40	seytek-2012:p0976:b003:l005	Канча мыкты эр көргөн.	visual_sequence_alignment_aid_only
103	41	seytek-2012:p0976:b003:l006	Телегейин тең көргөн,	visual_sequence_alignment_aid_only
103	42	seytek-2012:p0976:b003:l007	Кезетин билип душмандын,	visual_sequence_alignment_aid_only
103	43	seytek-2012:p0976:b003:l008	Желжетпес оозун бурду эле,	visual_sequence_alignment_aid_only
103	44	seytek-2012:p0976:b003:l009	Купта жакты бет алып,	visual_sequence_alignment_aid_only
103	45	seytek-2012:p0976:b003:l010	Кезетин берип турду эле.	visual_sequence_alignment_aid_only
103	46	seytek-2012:p0976:b003:l011	Зың-зың этип кенебей,	visual_sequence_alignment_aid_only
103	47	seytek-2012:p0976:b003:l012	Чабышары Сарыбай,	visual_sequence_alignment_aid_only
103	48	seytek-2012:p0976:b003:l013	Бучкагына теңебей.	visual_sequence_alignment_aid_only
103	49	seytek-2012:p0976:b003:l014	Өйдө-ылдыйын болжобой,	visual_sequence_alignment_aid_only
103	50	seytek-2012:p0976:b003:l015	Өзү кыраан байкушуң,	visual_sequence_alignment_aid_only
103	51	seytek-2012:p0976:b003:l016	Өлөмүн деп ойлобой,	visual_sequence_alignment_aid_only
103	52	seytek-2012:p0976:b003:l017	Балбан жүрөк, шер кайрат,	visual_sequence_alignment_aid_only
