manuscript_position	printed_source_id	printed_text	status
sayakbay-ms-current142:pdf028:l001	seytek-2012:p0928:b002:l039	Мына ошондо Куялы,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l002	seytek-2012:p0928:b002:l040	Узун бойлуу, кең далы,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l003	seytek-2012:p0928:b003:l001	Өтө балбан өткүр шер,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l004	seytek-2012:p0928:b003:l002	Эрендин бирөө бул дагы.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l005	seytek-2012:p0928:b003:l003	Айта-буйта дегиче,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l006	seytek-2012:p0928:b003:l004	Ачып көздү-жумганча,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l007	seytek-2012:p0928:b003:l005	Желжетпеси жээлигип,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l008	seytek-2012:p0928:b003:l006	Булуттай учуп ээлигип,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l009	seytek-2012:p0928:b003:l007	Жебеден мурун жетти эле.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l010	seytek-2012:p0928:b003:l008	Найзага даңгыл Куялы,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l011	seytek-2012:p0928:b003:l009	Айтып жүргөн кеби бул,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l012	seytek-2012:p0928:b003:l010	Эр Сарыбай баатырга	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l013	seytek-2012:p0928:b003:l011	Мына мындай деди бул:	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l014	seytek-2012:p0928:b003:l012	«Ар качандан бир качан,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l015	seytek-2012:p0928:b003:l013	Бузукуну ойлойсуң,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l016	seytek-2012:p0928:b003:l014	Эл кыдырып, кан төгүп	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l017	seytek-2012:p0928:b003:l015	Чатагыңды койбойсуң.	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l018	seytek-2012:p0928:b003:l016	Минте берсең кутургур,	provisional-visual-sequence-match
sayakbay-ms-current142:pdf028:l019	seytek-2012:p0928:b003:l017	Бу дүйнөдө оңбойсуң.	provisional-visual-sequence-match
