manuscript_position	printed_source_id	printed_text	status
sayakbay-ms-current142:pdf029:l001	seytek-2012:p0929:b002:l005	Бейпай салып издесем	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l002	seytek-2012:p0929:b002:l006	Өзүң келдиң, Сарыбай,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l003	seytek-2012:p0929:b002:l007	Талкалашып сайышар	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l004	seytek-2012:p0929:b002:l008	Кезиң келди, Сарыбай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l005	seytek-2012:p0929:b002:l009	Бир жаңжалды салууга,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l006	seytek-2012:p0929:b002:l010	Эки көзүң төрт болуп	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l007	seytek-2012:p0929:b002:l011	Өзүң келдиң, Сарыбай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l008	seytek-2012:p0929:b002:l012	Бурбай кылыч урганга,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l009	seytek-2012:p0929:b002:l013	Бузукташып турганга	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l010	seytek-2012:p0929:b002:l014	Кезиң келди, Сарыбай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l011	seytek-2012:p0929:b002:l015	Калк дүрбөтүп кол жыйып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l012	seytek-2012:p0929:b002:l016	Колду түмөн мол кылып	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l013	seytek-2012:p0929:b002:l017	Өзүң келдиң, Сарыбай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l014	seytek-2012:p0929:b002:l018	Азыр кулап өлүүгө,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l015	seytek-2012:p0929:b002:l019	Барса-келбес кең жайың,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l016	seytek-2012:p0929:b002:l020	Бадирегиң көрүүгө	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l017	seytek-2012:p0929:b002:l021	Кезиң келди, Сарыбай.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l018	seytek-2012:p0929:b002:l022	Желмогуз уулу дедирип,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l019	seytek-2012:p0929:b002:l023	Элге чыкты атагың,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l020	seytek-2012:p0929:b002:l024	Ай-ааламды буй кылып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l021	seytek-2012:p0929:b002:l025	Ашты сенин чатагың.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l022	seytek-2012:p0929:b002:l026	Чатагыңды табамын,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l023	seytek-2012:p0929:b002:l027	Менин атым Куялы,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l024	seytek-2012:p0929:b002:l028	Капкайдан минтип табамын.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l025	seytek-2012:p0929:b002:l029	Антың уруп шашпай тур,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l026	seytek-2012:p0929:b002:l030	Баатыр болсоң, шер болсоң	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l027	seytek-2012:p0929:b002:l031	Эр Сарыбай сен болсоң,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l028	seytek-2012:p0929:b002:l032	Акылыңдан шашпай тур,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l029	seytek-2012:p0929:b002:l033	Алдыңкы жерден качпай тур» –	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l030	seytek-2012:p0929:b002:l034	Деп, ошентип Куялы,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l031	seytek-2012:p0929:b002:l035	Мүшкүлдүү сыр найза	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l032	seytek-2012:p0929:b002:l036	Бура кармап алды эле,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l033	seytek-2012:p0929:b002:l037	Эмчек эттин бети – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l034	seytek-2012:p0929:b002:l038	Өпкөнүн өлчөө чеги – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l035	seytek-2012:p0929:b002:l039	Жүрөк колго түштү – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l036	seytek-2012:p0929:b002:l040	Кулжуңдаган доңуздун,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l037	seytek-2012:p0929:b004:l001	Кулаар жери ушул – деп,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l038	seytek-2012:p0929:b004:l002	Куялы найза сайды эле.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l039	seytek-2012:p0929:b004:l003	Мына ошондо Сарыбай,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l040	seytek-2012:p0929:b004:l004	Өкүргөндөн бакырып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l041	seytek-2012:p0929:b004:l005	Өрүк башын жапырып,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l042	seytek-2012:p0929:b004:l006	Найза болот айбалта,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l043	seytek-2012:p0929:b004:l007	Желмогуз уулу капырдын,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l044	seytek-2012:p0929:b004:l008	Балбандыгы бир канча.	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l045	seytek-2012:p0929:b004:l009	Айбалтаны алды эле,	provisional-boundary-and-count-match
sayakbay-ms-current142:pdf029:l046	seytek-2012:p0929:b004:l010	Ал найзаны жолотпой,	provisional-boundary-and-count-match
